name	sex	wikipedia_url	jsp_url	recording_url	birth_date	birth_date_md	best_birth_date	best_birth_year	best_birth_month	best_birth_day	death_date	death_date_md	best_death_date	best_death_year	best_death_month	best_death_day	date	date_md	best_date	best_year	best_month	best_day	tagline	tagline_md	office	outcome	outcome_md	for	alt_for	notes	notes_md	+notes	+notes_md	unit	unit_md	location	location_md	friendly_location	country	adm1	adm2	adm3	adm4	best_location	best_country	best_adm1	best_adm2	best_adm3	best_adm4	sections	tags	birth_place	birth_place_md	rebaptism_date	rebaptism_date_md	baptism_date	baptism_date_md
Sarah Marinda Bates Pratt	female	https://en.wikipedia.org/wiki/Sarah_Marinda_Bates_Pratt			1817	1817	1817	1817.0			1888	1888	1888	1888.0			4 Oct 1874	4 Oct 1874	4 Oct 1874	1874	Oct	4.0	First wife of Orson Pratt, Anti-Polygamy Society supporter, self-proclaimed apostate	First wife of Orson Pratt, Anti-Polygamy Society supporter, self-proclaimed apostate		excommunicated	excommunicated	apostasy		Excommunicated for apostasy after rejecting polygamy and objecting to being placed on an equal footing with her husband's other wives. Her disaffection became pronounced after her 57 year-old husband Orson married as his tenth wife 16 year-old Margaret Graham, a teen younger than their own daughter.	[Excommunicated for apostasy](https://archive.org/details/SarahPrattShapingOfAnApostate/page/n25) after rejecting polygamy and objecting to being placed on an equal footing with her husband's other wives. Her disaffection became pronounced after her 57 year-old husband Orson married as his tenth wife 16 year-old Margaret Graham, a teen younger than their own daughter.					Utah, United States	Utah, United States	Utah	United States	Utah				Utah, United States	United States	Utah				['19th Century', 'Brigham Young Era']							
Arthur Pratt	male																5 Oct 1874	5 Oct 1874	5 Oct 1874	1874	Oct	5.0	Son of Orson and Sarah Pratt	Son of Orson and Sarah Pratt		excommunicated	excommunicated	apostasy		"Excommunicated for apostasy the day after his mother, Sarah Pratt, was excommunicated on the same charge. He later explained, ""I am the son of my father's first wife, and had a mother who taught me the evils of the system [of polygamy]."""	"[Excommunicated for apostasy](https://archive.org/details/SarahPrattShapingOfAnApostate/page/n25) the day after his mother, Sarah Pratt, was excommunicated on the same charge. He later explained, ""I am the son of my father's first wife, and had a mother who taught me the evils of the system \[of polygamy\]."""					Utah, United States	Utah, United States	Utah	United States	Utah				Utah, United States	United States	Utah				['19th Century', 'Brigham Young Era']							
Fanny Stenhouse	female	https://en.wikipedia.org/wiki/Fanny_Stenhouse			1829	1829	1829	1829.0			1904	1904	1904	1904.0			5 Oct 1874	5 Oct 1874	5 Oct 1874	1874	Oct	5.0	Anti-polygamy memoirist and polemicist	Anti-polygamy memoirist and polemicist		excommunicated	excommunicated			Excommunicated after delivering her anti-polygamy lecture in Salt Lake City. She published her anti-polygamy memoir, _Exposé of Polygamy in Utah: A Lady’s Life among the Mormons_ , in 1872, and lectured widely on the same theme, leading to her excommunication. A reworked and more polemical version of her book, _Tell It All: The Story of a Life's Experience in Mormonism_ came out in 1875. Her husband, T. B. H. Stenhouse, preceded her in excommunication on account of his adherence to Godbeitism.	[Excommunicated after delivering her anti-polygamy lecture in Salt Lake City](https://mormonhistoryassociation.org/wp-content/uploads/2015/01/Journal-of-Mormon-History-Vol.-1-1974.pdf). She published her anti-polygamy memoir, _Exposé of Polygamy in Utah: A Lady’s Life among the Mormons_, in 1872, and lectured widely on the same theme, leading to her excommunication. A reworked and more polemical version of her book, _Tell It All: The Story of a Life's Experience in Mormonism_ came out in 1875. Her husband, T. B. H. Stenhouse, preceded her in excommunication on account of his adherence to Godbeitism.					Utah, United States	Utah, United States	Utah	United States	Utah				Utah, United States	United States	Utah				['19th Century', 'Brigham Young Era']							
Ann Eliza Young	female	https://en.wikipedia.org/wiki/Ann_Eliza_Young			1844	1844	1844	1844.0			1917	1917	1917	1917.0			10 Oct 1874	10 Oct 1874	10 Oct 1874	1874	Oct	10.0	Polygamy opponent, ex-wife of Brigham Young	Polygamy opponent, ex-wife of Brigham Young		excommunicated	excommunicated			Excommunicated subsequent to leaving her husband.	[Excommunicated](https://www.dialoguejournal.com/wp-content/uploads/sbi/issues/V20N03.pdf) subsequent to leaving her husband.					Utah, United States	Utah, United States	Utah	United States	Utah				Utah, United States	United States	Utah				['19th Century', 'Brigham Young Era']							
Addie May Chapman Gustafson	female				4 May 1897	4 May 1897	4 May 1897	1897.0	May	4.0							4 May 1897	4 May 1897	4 May 1897	1897	May	4.0				excommunicated	[excommunicated](https://archive.org/details/improvementera4809unse/page/n53/mode/2up)	violating the law of chastity						Watsonville Branch, Northern California Mission	Watsonville Branch, Northern California Mission	Watsonville, Santa Cruz, California, United States	Watsonville, Santa Cruz, California, United States	Watsonville, California	United States	California	Santa Cruz	Watsonville		Watsonville, Santa Cruz, California, United States	United States	California	Santa Cruz	Watsonville		['20th Century']	['improvement-era', '1945-sep']						
John W. Taylor	male	https://en.wikipedia.org/wiki/John_W._Taylor_(Mormon)			1858	1858	1858	1858.0			1916	1916	1916	1916.0			28 Mar 1911	28 Mar 1911	28 Mar 1911	1911	Mar	28.0	Resigned Apostle and Persistent Polygamist	Resigned Apostle and Persistent Polygamist		excommunicated	excommunicated	insubordination to the government and discipline of the church		"Excommunicated for ""insubordination to the government and discipline of the church"" on account of his rejection of the Second Manifesto's abolition of polygamy, following his father, church president John Taylor, in dedication to plural marriage. Along with fellow apostle Matthias F. Cowley, he had previous resigned the apostleship at the request of church president Joseph F. Smith, to eliminate the awkward presence of an avowed polygamist in church leadership during the Reed-Smoot hearings."	"[Excommunicated for ""insubordination to the government and discipline of the church""](https://chroniclingamerica.loc.gov/lccn/sn83045396/1911-05-13/ed-1/seq-6/) on account of his rejection of the Second Manifesto's abolition of polygamy, following his father, church president John Taylor, in dedication to plural marriage. Along with fellow apostle Matthias F. Cowley, he had previous resigned the apostleship at the request of church president Joseph F. Smith, to eliminate the awkward presence of an avowed polygamist in church leadership during the Reed-Smoot hearings."					Salt Lake City, Salt Lake, Utah, United States	Salt Lake City, Salt Lake, Utah, United States	Salt Lake City, Utah	United States	Utah	Salt Lake	Salt Lake City		Salt Lake City, Salt Lake, Utah, United States	United States	Utah	Salt Lake	Salt Lake City		['20th Century']							
Matthias F. Cowley	male	https://en.wikipedia.org/wiki/Matthias_F._Cowley			1858	1858	1858	1858.0			1940	1940	1940	1940.0			11 May 1911	11 May 1911	11 May 1911	1911	May	11.0	Resigned Apostle, Polygamist, Sermonizer	Resigned Apostle, Polygamist, Sermonizer		priesthood-deauthorized	priesthood-deauthorized	insubordination to the government and discipline of the Church of Jesus Christ of Latter Day Saints		"Deprived of ""the right and authority to exercise any of the functions of the priesthood"" for ""insubordination to the government and discipline of the Church of Jesus Christ of Latter Day Saints"", specifically for continued involvement with plural marriages not authorized by the church. Along with fellow apostle John W. Taylor, he had previous resigned the apostleship at the request of church president Joseph F. Smith, to eliminate the awkward presence of an avowed polygamist in church leadership during the Reed-Smoot hearings. His non-standard penalty for insubordination was removed and his priesthood restored 3 Apr 1936."	"[Deprived of ""the right and authority to exercise any of the functions of the priesthood"" for ""insubordination to the government and discipline of the Church of Jesus Christ of Latter Day Saints""](https://chroniclingamerica.loc.gov/lccn/sn83045396/1911-05-13/ed-1/seq-6/), specifically for continued involvement with plural marriages not authorized by the church. Along with fellow apostle John W. Taylor, he had previous resigned the apostleship at the request of church president Joseph F. Smith, to eliminate the awkward presence of an avowed polygamist in church leadership during the Reed-Smoot hearings. His non-standard penalty for insubordination was removed and his priesthood restored 3 Apr 1936."					Salt Lake City, Salt Lake, Utah, United States	Salt Lake City, Salt Lake, Utah, United States	Salt Lake City, Utah	United States	Utah	Salt Lake	Salt Lake City		Salt Lake City, Salt Lake, Utah, United States	United States	Utah	Salt Lake	Salt Lake City		['20th Century']							
J. Leslie Broadbent	male	https://en.wikipedia.org/wiki/J._Leslie_Broadbent			1891	1891	1891	1891.0			1935	1935	1935	1935.0			18 Jul 1929	18 Jul 1929	18 Jul 1929	1929	Jul	18.0	Polygamist, early leader in Mormon Fundamentalism	Polygamist, early leader in Mormon Fundamentalism		excommunicated	excommunicated			Excommunicated. He took a plural second wife in 1925, and his 1927 pamphlet _Celestial Marriage_ was an influential early Mormon fundamentalist document.	[Excommunicated](https://web.archive.org/web/20191112073750/http://mormonpolygamydocuments.org/wp-content/uploads/2019/05/Louis-Alma-Kelsch-1905-1974.pdf). He took a plural second wife in 1925, and his 1927 pamphlet _Celestial Marriage_ was an influential early Mormon fundamentalist document.																			['20th Century']							
John William Oakley	male				11 May 1891	11 May 1891	11 May 1891	1891.0	May	11.0							1 Jan 1940	1 Jan 1940	1 Jan 1940	1940	Jan	1.0				excommunicated	excommunicated			Excommunicated.	[Excommunicated](https://archive.org/details/improvementera4509unse/page/n61).			Handsworth Branch, British Mission	Handsworth Branch, British Mission	Handsworth, ?, England, United Kingdom	Handsworth, ?, England, United Kingdom	Handsworth, England, United Kingdom	United Kingdom	England	?	Handsworth		Handsworth, , England, United Kingdom	United Kingdom	England		Handsworth		['20th Century']	['improvement-era', '1942-sep']						
Alice Maud Prescott Oakley	female				5 Jan 1894	5 Jan 1894	5 Jan 1894	1894.0	Jan	5.0							8 Jan 1940	8 Jan 1940	8 Jan 1940	1940	Jan	8.0				excommunicated	excommunicated			Excommunicated.	[Excommunicated](https://archive.org/details/improvementera4509unse/page/n61).			Handsworth Branch, British Mission	Handsworth Branch, British Mission	Handsworth, ?, England, United Kingdom	Handsworth, ?, England, United Kingdom	Handsworth, England, United Kingdom	United Kingdom	England	?	Handsworth		Handsworth, , England, United Kingdom	United Kingdom	England		Handsworth		['20th Century']	['improvement-era', '1942-sep']						
George Oakley	male				18 Jan 1894	18 Jan 1894	18 Jan 1894	1894.0	Jan	18.0							8 Jan 1940	8 Jan 1940	8 Jan 1940	1940	Jan	8.0				excommunicated	excommunicated			Excommunicated.	[Excommunicated](https://archive.org/details/improvementera4509unse/page/n61).			Handsworth Branch, British Mission	Handsworth Branch, British Mission	Handsworth, ?, England, United Kingdom	Handsworth, ?, England, United Kingdom	Handsworth, England, United Kingdom	United Kingdom	England	?	Handsworth		Handsworth, , England, United Kingdom	United Kingdom	England		Handsworth		['20th Century']	['improvement-era', '1942-sep']						
Ellen Mary Maude Brown	female				16 Feb 1889	16 Feb 1889	16 Feb 1889	1889.0	Feb	16.0							8 Jan 1940	8 Jan 1940	8 Jan 1940	1940	Jan	8.0				excommunicated	excommunicated			Excommunicated.	[Excommunicated](https://archive.org/details/improvementera4509unse/page/n43).			Handsworth Branch, British Mission	Handsworth Branch, British Mission	Handsworth, ?, England, United Kingdom	Handsworth, ?, England, United Kingdom	Handsworth, England, United Kingdom	United Kingdom	England	?	Handsworth		Handsworth, , England, United Kingdom	United Kingdom	England		Handsworth		['20th Century']	['improvement-era', '1942-sep']						
Dennis Hy Clarence Brown	male				29 May 1916	29 May 1916	29 May 1916	1916.0	May	29.0							8 Jan 1940	8 Jan 1940	8 Jan 1940	1940	Jan	8.0				excommunicated	excommunicated			Excommunicated.	[Excommunicated](https://archive.org/details/improvementera4509unse/page/n43).			Handsworth Branch, British Mission	Handsworth Branch, British Mission	Handsworth, ?, England, United Kingdom	Handsworth, ?, England, United Kingdom	Handsworth, England, United Kingdom	United Kingdom	England	?	Handsworth		Handsworth, , England, United Kingdom	United Kingdom	England		Handsworth		['20th Century']	['improvement-era', '1942-sep']						
Edith Oakley Dobell	female				26 Apr 1899	26 Apr 1899	26 Apr 1899	1899.0	Apr	26.0							8 Jan 1940	8 Jan 1940	8 Jan 1940	1940	Jan	8.0				excommunicated	excommunicated			Excommunicated.	[Excommunicated](https://archive.org/details/improvementera4509unse/page/n49).			Handsworth Branch, British Mission	Handsworth Branch, British Mission	Handsworth, ?, England, United Kingdom	Handsworth, ?, England, United Kingdom	Handsworth, England, United Kingdom	United Kingdom	England	?	Handsworth		Handsworth, , England, United Kingdom	United Kingdom	England		Handsworth		['20th Century']	['improvement-era', '1942-sep']						
Agnes Katherine Anderson	female																1941	1941	1941	1941						excommunicated-at-own-request	excommunicated-at-own-request			Excommunicated at her own request.	[Excommunicated at her own request](https://archive.org/details/improvementera4506unse/page/n31).			Vallejo Ward, Oakland Stake	Vallejo Ward, Oakland Stake	Vallejo, Solano, California, United States	Vallejo, Solano, California, United States	Vallejo, California	United States	California	Solano	Vallejo		Vallejo, Solano, California, United States	United States	California	Solano	Vallejo		['20th Century']	['improvement-era', '1942-jun']						
Edward Cline	male				13 Nov 1867	13 Nov 1867	13 Nov 1867	1867.0	Nov	13.0							1941	1941	1941	1941						excommunicated	excommunicated			Excommunicated.	[Excommunicated](https://archive.org/details/improvementera4509unse/page/n43).			Hamilton Branch, Northern States Mission	Hamilton Branch, Northern States Mission	United States	[United States](https://contentdm.lib.byu.edu/digital/collection/BYUIBooks/id/2080)	United States	United States					United States	United States					['20th Century']	['improvement-era', '1942-sep']						
Robert Laurence Cummings	male				25 Feb 1917	25 Feb 1917	25 Feb 1917	1917.0	Feb	25.0							1941	1941	1941	1941					seventy	excommunicated	excommunicated			"Excommunicated. (The _Improvement Era_ appears to give the branch erroneously as ""Kaui Branch, Japanese Mission"". We take this to mean Kauai in the Hawaiian islands, where the Japanese Mission operated between 1937 and 1950.)"	"[Excommunicated](https://archive.org/details/improvementera4509unse/page/n49). (The _Improvement Era_ appears to give the branch erroneously as ""Kaui Branch, Japanese Mission"". We take this to mean Kauai in the Hawaiian islands, where the Japanese Mission [operated between 1937 and 1950](https://en.wikipedia.org/w/index.php?title=The_Church_of_Jesus_Christ_of_Latter-day_Saints_in_Hawaii&oldid=907875291#History).)"			Kauai Branch, Japanese Mission	Kauai Branch, Japanese Mission	Kauai, Hawaii, United States	Kauai, Hawaii, United States	Kauai, Hawaii	United States	Hawaii	Kauai			Kauai, Hawaii, United States	United States	Hawaii	Kauai			['20th Century']	['improvement-era', '1942-sep']						
Pedro Martinez	male				9 Oct 1905	9 Oct 1905	9 Oct 1905	1905.0	Oct	9.0							1941	1941	1941	1941						excommunicated	excommunicated			Excommunicated.	[Excommunicated](https://archive.org/details/improvementera4509unse/page/n49).			San Pedro Branch, Mexican Mission	San Pedro Branch, Mexican Mission	San Pedro?, ?, ?, Mexico?	San Pedro?, ?, ?, Mexico?	San Pedro, Mexico	Mexico?	?	?	San Pedro?		San Pedro, , , Mexico	Mexico			San Pedro		['20th Century']	['improvement-era', '1942-sep']						
Jessie M. S. McIntyre					27 May 1900	27 May 1900	27 May 1900	1900.0	May	27.0							8 Jan 1941	8 Jan 1941	8 Jan 1941	1941	Jan	8.0				excommunicated	excommunicated			Excommunicated.	[Excommunicated](https://archive.org/details/improvementera4509unse/page/n49).			Evansville Branch, Northern States Mission	Evansville Branch, Northern States Mission	Evansville, Randolph, Illinois, United States	[Evansville, Randolph, Illinois, United States](https://archive.org/details/reliefsocietymag03reli/page/272)	Evansville, Illinois	United States	Illinois	Randolph	Evansville		Evansville, Randolph, Illinois, United States	United States	Illinois	Randolph	Evansville		['20th Century']	['improvement-era', '1942-sep']						
Stewart Davis Livingston	male				8 Jun 1907	8 Jun 1907	8 Jun 1907	1907.0	Jun	8.0							9 Jan 1941	9 Jan 1941	9 Jan 1941	1941	Jan	9.0				excommunicated	excommunicated			"Excommunicated in the ""York Branch, Eastern States Mission"" (says the _Improvement Era_ ), which probably means the _New_ York Branch."	"[Excommunicated](https://archive.org/details/improvementera4509unse/page/n49) in the ""York Branch, Eastern States Mission"" (says the _Improvement Era_), which probably means the _New_ York Branch."			[New] York Branch, Eastern States Mission	[New] York Branch, Eastern States Mission	New York, New York, United States	New York, New York, United States	New York, New York	United States	New York	New York			New York, New York, United States	United States	New York	New York			['20th Century']	['improvement-era', '1942-sep']						
Frieda M. Czaia Cope	female				22 Jul 1910	22 Jul 1910	22 Jul 1910	1910.0	Jul	22.0							13 Jan 1941	[13 Jan 1941](https://archive.org/details/improvementera4509unse/page/n49)	13 Jan 1941	1941	Jan	13.0				excommunicated	excommunicated			Excommunicated.	[Excommunicated](https://archive.org/details/improvementera4509unse/page/n43).			South Illinois District, Northern States Mission	South Illinois District, Northern States Mission	Illinois, United States	Illinois, United States	Illinois	United States	Illinois				Illinois, United States	United States	Illinois				['20th Century']	['improvement-era', '1942-sep']						
Claricy Flynn Hubbs	female				10 Feb 1894	10 Feb 1894	10 Feb 1894	1894.0	Feb	10.0							13 Jan 1941	13 Jan 1941	13 Jan 1941	1941	Jan	13.0				excommunicated	excommunicated			Excommunicated.	[Excommunicated](https://archive.org/details/improvementera4509unse/page/n49).			South Illinois District, Northern States Mission	South Illinois District, Northern States Mission	Illinois, United States	Illinois, United States	Illinois	United States	Illinois				Illinois, United States	United States	Illinois				['20th Century']	['improvement-era', '1942-sep']						
Belinda Arregui	female				11 Aug 1891	11 Aug 1891	11 Aug 1891	1891.0	Aug	11.0							23 Jan 1941	23 Jan 1941	23 Jan 1941	1941	Jan	23.0				excommunicated	excommunicated			"Excommunicated. (The _Improvement Era_ says she was excommunicated in the ""Cordola Branch, Argentine Mission"", which we take to mean the _Córdoba_ Branch in the Argentine Mission)."	"[Excommunicated](https://archive.org/details/improvementera4509unse/page/n43). (The _Improvement Era_ says she was excommunicated in the ""Cordola Branch, Argentine Mission"", which we take to mean the [_Córdoba_ Branch in the Argentine Mission](https://en.wikipedia.org/w/index.php?title=The_Church_of_Jesus_Christ_of_Latter-day_Saints_in_Argentina&oldid=926388964#Establishment_of_the_mission))."			Córdoba Branch, Argentine Mission	Córdoba Branch, Argentine Mission	Córdoba?, ?, Capital Department, Argentina	Córdoba?, ?, Capital Department, Argentina	Córdoba, Capital Department, Argentina	Argentina	Capital Department	?	Córdoba?		Córdoba, , Capital Department, Argentina	Argentina	Capital Department		Córdoba		['20th Century']	['improvement-era', '1942-sep']						
Nina W. Sims DeYoung	female				22 Oct 1902	22 Oct 1902	22 Oct 1902	1902.0	Oct	22.0							29 Jan 1941	29 Jan 1941	29 Jan 1941	1941	Jan	29.0				excommunicated	excommunicated			"Excommunicated. (The _Improvement Era_ has her being excommunicated in the ""Rapids Branch, Northern States Mission"" but I find no evidence of such a branch. However, there was a Grand Rapids Branch in the Northern States Mission, so we interpret it as such.)"	"[Excommunicated](https://archive.org/details/improvementera4509unse/page/n49). (The _Improvement Era_ has her being excommunicated in the ""Rapids Branch, Northern States Mission"" but I find no evidence of such a branch. However, [there was a Grand Rapids Branch in the Northern States Mission](https://books.google.com/books?id=f2jUAAAAMAAJ&pg=PA316&lpg=PA316&dq=rapids+branch,+northern+states+mission&source=bl&ots=yp1BDR9P53&sig=ACfU3U0MakD9Ou5KDzzq1MuAr08pR0p7Xw&hl=en&ppis=_e&sa=X&ved=2ahUKEwjR3erouPjlAhVDIDQIHTYKDfMQ6AEwC3oECAkQAQ#v=onepage&q&f=false), so we interpret it as such.)"			Grand Rapids Branch, Northern States Mission	Grand Rapids Branch, Northern States Mission	Grand Rapids, Kent, Michigan, United States	Grand Rapids, Kent, Michigan, United States	Grand Rapids, Michigan	United States	Michigan	Kent	Grand Rapids		Grand Rapids, Kent, Michigan, United States	United States	Michigan	Kent	Grand Rapids		['20th Century']	['improvement-era', '1942-sep']						
Wilhelm Ramsdorf	male				20 Jan 1905	20 Jan 1905	20 Jan 1905	1905.0	Jan	20.0							3 Feb 1941	3 Feb 1941	3 Feb 1941	1941	Feb	3.0			elder	excommunicated	excommunicated			Excommunicated.	[Excommunicated](https://archive.org/details/improvementera4509unse/page/n61).			Joinville Branch, Brazilian Mission	Joinville Branch, Brazilian Mission	Joinville, , Santa Catarina, Brazil	Joinville, , Santa Catarina, Brazil	Joinville, Santa Catarina, Brazil	Brazil	Santa Catarina		Joinville		Joinville, , Santa Catarina, Brazil	Brazil	Santa Catarina		Joinville		['20th Century']	['improvement-era', '1942-sep']						
Alma A. Timpson	male	https://en.wikipedia.org/?title=Alma_A._Timpson															13 Feb 1941	13 Feb 1941	13 Feb 1941	1941	Feb	13.0	fundamentalist Mormon leader	fundamentalist Mormon leader		excommunicated	excommunicated	advocating plural marriage		"Excommunicated for ""advocating plural marriage"". He went on to become leader of the Centennial Park group of polygamists in Centennial Park, Arizona."	"[Excommunicated for ""advocating plural marriage""](https://archive.org/details/improvementera4507unse/page/n31). He went on to become leader of the [Centennial Park group](https://en.wikipedia.org/wiki/Centennial_Park_group) of polygamists in Centennial Park, Arizona."			Twentieth Ward, Ensign Stake	Twentieth Ward, Ensign Stake	Salt Lake City, Salt Lake, Utah, United States	[Salt Lake City, Salt Lake, Utah, United States](https://web.archive.org/web/20191120065440/https://www.familysearch.org/wiki/en/Wards_and_Branches_of_The_Church_of_Jesus_Christ_of_Latter-day_Saints_in_Ensign_Stake,_Utah)	Salt Lake City, Utah	United States	Utah	Salt Lake	Salt Lake City		Salt Lake City, Salt Lake, Utah, United States	United States	Utah	Salt Lake	Salt Lake City		['20th Century']	['improvement-era', '1942-jul']						
Martin Enid Mortenson	male				23 Apr 1900	23 Apr 1900	23 Apr 1900	1900.0	Apr	23.0							16 Feb 1941	16 Feb 1941	16 Feb 1941	1941	Feb	16.0			elder	excommunicated	excommunicated			Excommunicated.	[Excommunicated](https://archive.org/details/improvementera4509unse/page/n61).			Douglas Branch, California Mission	Douglas Branch, California Mission	Douglas, Cochise, Arizona, United States	[Douglas, Cochise, Arizona, United States](https://books.google.com/books?id=f2jUAAAAMAAJ&pg=PA477&lpg=PA477&dq=douglas+branch,+california+mission&source=bl&ots=yp1BDReV8-&sig=ACfU3U3s7vE2BwU6sMmXt6aIrlSDdsEDfg&hl=en&ppis=_e&sa=X&ved=2ahUKEwio8LHjzfjlAhWLFjQIHdGOCQUQ6AEwAXoECBkQAQ#v=onepage&q&f=false)	Douglas, Arizona	United States	Arizona	Cochise	Douglas		Douglas, Cochise, Arizona, United States	United States	Arizona	Cochise	Douglas		['20th Century']	['improvement-era', '1942-sep']						
Andrew C. Schade	male																9 Mar 1941	9 Mar 1941	9 Mar 1941	1941	Mar	9.0				excommunicated	excommunicated	apostasy		Excommunicated for apostasy.	[Excommunicated for apostasy](https://archive.org/details/improvementera4504unse/page/n31).			Mt. Tabor Ward, Portland Stake	Mt. Tabor Ward, Portland Stake	Portland, Multnomah, Oregon, United States	Portland, Multnomah, Oregon, United States	Portland, Oregon	United States	Oregon	Multnomah	Portland		Portland, Multnomah, Oregon, United States	United States	Oregon	Multnomah	Portland		['20th Century']	['improvement-era']						
Byrle Elton Blades	male																9 Mar 1941	9 Mar 1941	9 Mar 1941	1941	Mar	9.0				excommunicated	excommunicated	apostasy		Excommunicated for apostasy.	[Excommunicated for apostasy](https://archive.org/details/improvementera4504unse/page/n31).			Mt. Tabor Ward, Portland Stake	Mt. Tabor Ward, Portland Stake	Portland, Multnomah, Oregon, United States	Portland, Multnomah, Oregon, United States	Portland, Oregon	United States	Oregon	Multnomah	Portland		Portland, Multnomah, Oregon, United States	United States	Oregon	Multnomah	Portland		['20th Century']	['improvement-era']						
Edith D. Koester Bohnet	female																23 Mar 1941	23 Mar 1941	23 Mar 1941	1941	Mar	23.0				excommunicated	excommunicated	apostasy		Excommunicated for apostasy.	[Excommunicated for apostasy](https://archive.org/details/improvementera4503unse/page/n31).			Baltimore Branch, Washington Stake	Baltimore Branch, Washington Stake	Baltimore, Maryland, United States	Baltimore, Maryland, United States	Baltimore, Maryland	United States	Maryland	Baltimore			Baltimore, Maryland, United States	United States	Maryland	Baltimore			['20th Century']	['improvement-era']						
E. G. Dunn Hoffmann					25 Sep 1912	25 Sep 1912	25 Sep 1912	1912.0	Sep	25.0							28 Mar 1941	28 Mar 1941	28 Mar 1941	1941	Mar	28.0				excommunicated	excommunicated			Excommunicated.	[Excommunicated](https://archive.org/details/improvementera4509unse/page/n49).			East Michigan District, Northern States Mission	East Michigan District, Northern States Mission	Michigan, United States	Michigan, United States	Michigan	United States	Michigan				Michigan, United States	United States	Michigan				['20th Century']	['improvement-era', '1942-sep']						
Rulon T. Jeffs	male	https://en.wikipedia.org/wiki/Rulon_Jeffs			6 Dec 1909	6 Dec 1909	6 Dec 1909	1909.0	Dec	6.0	8 Sep 2002	8 Sep 2002	8 Sep 2002	2002.0	Sep	8.0	14 Apr 1941	14 Apr 1941	14 Apr 1941	1941	Apr	14.0	Polygamist, FLDS president	Polygamist, FLDS president		excommunicated	excommunicated	advocating doctrines contrary to the teachings of the Church		"Excommunicated for ""advocating doctrines contrary to the teachings of the Church"" after taking a second wife in 1940. (His first wife divorced him.) He became a prolific polygamist and eventual president of the Fundamentalist Church of Jesus Christ of Latter-Day Saints. He was estimated to have 75 wives upon his death."	"[Excommunicated for ""advocating doctrines contrary to the teachings of the Church""](https://archive.org/details/improvementera4503unse/page/n31) after taking a second wife in 1940. (His first wife divorced him.) He became a prolific polygamist and eventual president of the Fundamentalist Church of Jesus Christ of Latter-Day Saints. He was [estimated to have 75 wives upon his death](https://www.npr.org/2005/05/03/4629320/warren-jeffs-and-the-flds)."			LeGrand Ward, Bonneville Stake	LeGrand Ward, Bonneville Stake															['20th Century']	['improvement-era']						
M. L. F. Hunt					11 Dec 1910	11 Dec 1910	11 Dec 1910	1910.0	Dec	11.0							16 Apr 1941	16 Apr 1941	16 Apr 1941	1941	Apr	16.0				excommunicated	excommunicated			Excommunicated.	[Excommunicated](https://archive.org/details/improvementera4509unse/page/n49).			Rockford Branch, Northern States Mission	Rockford Branch, Northern States Mission	Rockford, Winnebago, Illinois, United States	[Rockford, Winnebago, Illinois, United States](https://books.google.com/books?id=_FEoAAAAYAAJ&pg=PA1001&lpg=PA1001&dq=rockford+branch,+northern+states+mission&source=bl&ots=cTHd5VQwny&sig=ACfU3U3JVZz_ZYBJPZCkvxiW9OySfML4qQ&hl=en&ppis=_e&sa=X&ved=2ahUKEwje4qnyx_jlAhUqCTQIHSJGBCkQ6AEwCnoECAgQAQ#v=onepage&q&f=false)	Rockford, Illinois	United States	Illinois	Winnebago	Rockford		Rockford, Winnebago, Illinois, United States	United States	Illinois	Winnebago	Rockford		['20th Century']	['improvement-era', '1942-sep']						
Moirie Alford Measley					27 Apr 1912	[27 Apr 1912](https://archive.org/details/improvementera4509unse/page/n61)	27 Apr 1912	1912.0	Apr	27.0							18 Apr 1941	18 Apr 1941	18 Apr 1941	1941	Apr	18.0				excommunicated	excommunicated			Excommunicated.	[Excommunicated](https://archive.org/details/improvementera4509unse/page/n49).			Toledo Branch, Northern States Mission	Toledo Branch, Northern States Mission	Toledo?, Lucas?, Ohio?, United States	Toledo?, Lucas?, Ohio?, United States	Toledo, Ohio	United States	Ohio?	Lucas?	Toledo?		Toledo, Lucas, Ohio, United States	United States	Ohio	Lucas	Toledo		['20th Century']	['improvement-era', '1942-sep']						
Edward Everett Nolan	male				14 Nov 1877	14 Nov 1877	14 Nov 1877	1877.0	Nov	14.0							27 Apr 1941	27 Apr 1941	27 Apr 1941	1941	Apr	27.0				excommunicated	excommunicated			Excommunicated.	[Excommunicated](https://archive.org/details/improvementera4509unse/page/n61).			Billings Branch, North Central States Mission	Billings Branch, North Central States Mission	Billings, Yellowstone, Montana, United States	[Billings, Yellowstone, Montana, United States](https://en.wikipedia.org/w/index.php?title=The_Church_of_Jesus_Christ_of_Latter-day_Saints_in_Montana&oldid=906832781#Montana_Billings_Mission)	Billings, Montana	United States	Montana	Yellowstone	Billings		Billings, Yellowstone, Montana, United States	United States	Montana	Yellowstone	Billings		['20th Century']	['improvement-era', '1942-sep']						
